Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Desc,URL,Image_URL
Bazooka coffee concentrate,Brown Rush Coffee,900.0,1000 ml,Dark Roast,,"Our coffee concentrate, dark roast 100% Robusta, is like a shot of pure coffee adrenaline - it'll kick your taste buds into high gear and have you ready to take on the world (or at least your morning commute). So grab a bottle and get ready to feel like a coffee superhero!",https://brownrushcoffee.com/products/100-robusta-coffee-concentrate-dark-roast,https://cdn.shopify.com/s/files/1/0734/6454/5589/files/2C0A7915copy2.jpg?v=1691489902
Bazooka coffee concentrate,Brown Rush Coffee,525.0,500 ml,Dark Roast,,"Our coffee concentrate, dark roast 100% Robusta, is like a shot of pure coffee adrenaline - it'll kick your taste buds into high gear and have you ready to take on the world (or at least your morning commute). So grab a bottle and get ready to feel like a coffee superhero!",https://brownrushcoffee.com/products/100-robusta-coffee-concentrate-dark-roast,https://cdn.shopify.com/s/files/1/0734/6454/5589/files/2C0A7915copy2.jpg?v=1691489902
Brown rush starter pack,Brown Rush Coffee,849.0,,,,"This coffee concentrate starter pack is like a rock band with three distinct personalities. Robusta is the edgy lead singer, Arabica is the smooth bassist, and the 80-20 blend is the perfect drummer - just the right balance of punch and finesse. Get 200 ml of each of these bad boys!",https://brownrushcoffee.com/products/brown-rush-starter-pack,https://cdn.shopify.com/s/files/1/0734/6454/5589/files/2C0A7996copy2.jpg?v=1691490911
Bullet coffee concentrate,Brown Rush Coffee,950.0,1000 ml,Medium-Dark Roast,Arabica with a captivating strength of Robusta,"Bullet coffee concentrate is a perfectly balanced brew of Arabica and Robusta - nuanced taste of Arabica with a captivating strength of Robusta. With its medium dark roast and 80-20 blend, it will elevate your coffee moments to a new height.",https://brownrushcoffee.com/products/bullet-coffee-concentrate,https://cdn.shopify.com/s/files/1/0734/6454/5589/files/2C0A7909copy2.jpg?v=1691490374
Bullet coffee concentrate,Brown Rush Coffee,600.0,500 ml,Medium-Dark Roast,Arabica with a captivating strength of Robusta,"Bullet coffee concentrate is a perfectly balanced brew of Arabica and Robusta - nuanced taste of Arabica with a captivating strength of Robusta. With its medium dark roast and 80-20 blend, it will elevate your coffee moments to a new height.",https://brownrushcoffee.com/products/bullet-coffee-concentrate,https://cdn.shopify.com/s/files/1/0734/6454/5589/files/2C0A7909copy2.jpg?v=1691490374
House Arabica Beans,Brown Rush Coffee,,,Medium Roast,,"Discover our 100% Arabica Medium Roast, crafted with care in small batches to ensure the utmost quality. This blend produces an exceptionally bright cup, perfectly balanced with a beautiful hint of sweetness. Each sip offers a delightful harmony of vibrant acidity and natural sweetness, creating a truly memorable coffee experience. Enjoy the intricate flavors and nuanced profile of our blend. Warning: May cause spontaneous bursts of joy and uncontrollable bragging about your superior taste in coffee!",https://brownrushcoffee.com/products/house-blend-arabica,https://cdn.shopify.com/s/files/1/0734/6454/5589/files/3.jpg?v=1726204920
Spear coffee concentrate,Brown Rush Coffee,1050.0,1000 ml,Medium Roast,"Our medium roast coffee concentrate - Spear - is like the Goldilocks of coffee, not too light, not too dark, just right for your taste buds.","Our medium roast coffee concentrate - Spear - is like the Goldilocks of coffee, not too light, not too dark, just right for your taste buds. And with its concentrated delicious flavor, you can brew a delightful and luxurious coffee with ease.",https://brownrushcoffee.com/products/spear-coffee-concentrate,https://cdn.shopify.com/s/files/1/0734/6454/5589/files/2C0A7913copy2.jpg?v=1691490573
Spear coffee concentrate,Brown Rush Coffee,650.0,500 ml,Medium Roast,"Our medium roast coffee concentrate - Spear - is like the Goldilocks of coffee, not too light, not too dark, just right for your taste buds.","Our medium roast coffee concentrate - Spear - is like the Goldilocks of coffee, not too light, not too dark, just right for your taste buds. And with its concentrated delicious flavor, you can brew a delightful and luxurious coffee with ease.",https://brownrushcoffee.com/products/spear-coffee-concentrate,https://cdn.shopify.com/s/files/1/0734/6454/5589/files/2C0A7913copy2.jpg?v=1691490573
Travel Series - Coffee Concentrate,Brown Rush Coffee,300.0,200 ml,,,"Brown Rush Coffee’s Travel Series Coffee Concentrate is your go-to brew, crafted from 100% Arabica beans and designed to be your perfect travel companion. With a shelf life of 9 months and no preservatives, it delivers rich, fresh flavor whenever you need it. Whether you're on the road or at home, enjoy exceptional coffee that’s ready when you are—no boarding pass required!",https://brownrushcoffee.com/products/travel-series-coffee-concentrate,https://cdn.shopify.com/s/files/1/0734/6454/5589/files/Untitled_design.jpg?v=1723269973
Travel Series - Coffee Concentrate,Brown Rush Coffee,480.0,400 ml,,,"Brown Rush Coffee’s Travel Series Coffee Concentrate is your go-to brew, crafted from 100% Arabica beans and designed to be your perfect travel companion. With a shelf life of 9 months and no preservatives, it delivers rich, fresh flavor whenever you need it. Whether you're on the road or at home, enjoy exceptional coffee that’s ready when you are—no boarding pass required!",https://brownrushcoffee.com/products/travel-series-coffee-concentrate,https://cdn.shopify.com/s/files/1/0734/6454/5589/files/Untitled_design.jpg?v=1723269973
