Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
APPLE TEA,Devans,225.0,100g,,"This tea is infused with apple flavour to give you a smooth, fruity and a refreshing cup of tea",Assam,,"The combination of black tea and fruit flavors creates an invigorating and refreshing drink, and is a delicious alternative to plain black tea. Featuring a range of flavours, each blend is made with our finest Assam Black tea. 
 This tea is infused with apple flavour to give you a smooth, fruity and a refreshing cup of tea. Makes an intense, dark brew, can be had hot or cold with a little sweetener.
[Meta Description]: The combination of black tea and fruit flavors creates an invigorating and refreshing drink, and is a delicious alternative to a plain black tea. Featuring a range of flavours, each blend is made with our finest Assam Fannings Black tea.",https://www.devans.in/products/apple-tea,https://cdn.shopify.com/s/files/1/0561/6071/4931/products/032.jpg?v=1622198119,Tea
APPLE TEA,Devans,560.0,250g,,"This tea is infused with apple flavour to give you a smooth, fruity and a refreshing cup of tea",Assam,,"The combination of black tea and fruit flavors creates an invigorating and refreshing drink, and is a delicious alternative to plain black tea. Featuring a range of flavours, each blend is made with our finest Assam Black tea. 
 This tea is infused with apple flavour to give you a smooth, fruity and a refreshing cup of tea. Makes an intense, dark brew, can be had hot or cold with a little sweetener.
[Meta Description]: The combination of black tea and fruit flavors creates an invigorating and refreshing drink, and is a delicious alternative to a plain black tea. Featuring a range of flavours, each blend is made with our finest Assam Fannings Black tea.",https://www.devans.in/products/apple-tea,https://cdn.shopify.com/s/files/1/0561/6071/4931/products/032.jpg?v=1622198119,Tea
ARABICA FRENCH ROAST COFFEE,Devans,525.0,250g,,French,Chikmagalur,,"ANIMAL PRINTED PACK IS AVAILABLE in 500 g ONLY.  
  Grown on the lush green hills of Chikmagalur, in Karnataka, this Arabica Plantation AA coffee represents one of the best quality coffee of India.¬† 
  Arabica Plantation-AA is given a longer roast for a strong brew. After roasting, the beans appear dark and oily. This coffee is perfect for those who will not settle for anything but the strongest.   
 Tasting Notes    
  French Roast coffee has an overpowering body, dark colour and is completely void of acidity. The dark roast gives it a bold smoky flavor, yet sweet notes intermingling with that smokiness.
[Meta Description]: Arabica plantation-AA is given a longer roast for a strong brew. After roasting, the beans appear quite oily. This coffee is perfect for those who will not settle for anything but the strongest. Tasting Notes An overpowering body, completely void of acidity. Bold flavor and dark color in the cup.",https://www.devans.in/products/arabica-coffee,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/Arabica_20French_20Roast_5000x_32a41cef-c377-47ab-92f0-b25629d94230.webp?v=1748871494,Coffee
ARABICA FRENCH ROAST COFFEE,Devans,1050.0,500g,,French,Chikmagalur,,"ANIMAL PRINTED PACK IS AVAILABLE in 500 g ONLY.  
  Grown on the lush green hills of Chikmagalur, in Karnataka, this Arabica Plantation AA coffee represents one of the best quality coffee of India.¬† 
  Arabica Plantation-AA is given a longer roast for a strong brew. After roasting, the beans appear dark and oily. This coffee is perfect for those who will not settle for anything but the strongest.   
 Tasting Notes    
  French Roast coffee has an overpowering body, dark colour and is completely void of acidity. The dark roast gives it a bold smoky flavor, yet sweet notes intermingling with that smokiness.
[Meta Description]: Arabica plantation-AA is given a longer roast for a strong brew. After roasting, the beans appear quite oily. This coffee is perfect for those who will not settle for anything but the strongest. Tasting Notes An overpowering body, completely void of acidity. Bold flavor and dark color in the cup.",https://www.devans.in/products/arabica-coffee,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/Arabica_20French_20Roast_5000x_32a41cef-c377-47ab-92f0-b25629d94230.webp?v=1748871494,Coffee
ARABICA FRENCH ROAST COFFEE (WHOLE SALE),Devans,17500.0,10kg,,French,Chikmagalur,,"Stand up pouches with round bottom gusset. 1 kg Matt silver with zipper and with one way freshness valve. 
  Grown on the lush green hills of Chikmagalur, in Karnataka, this Arabica Plantation AA coffee represents one of the best quality coffee of India.¬† 
  Arabica Plantation-AA is given a longer roast for a strong brew. After roasting, the beans appear dark and oily. This coffee is perfect for those who will not settle for anything but the strongest.   
 Tasting Notes    
  French Roast coffee has an overpowering body, dark colour and is completely void of acidity. The dark roast gives it a bold smoky flavor, yet sweet notes intermingling with that smokiness.
[Meta Description]: Arabica plantation-AA is given a longer roast for a strong brew. After roasting, the beans appear quite oily. This coffee is perfect for those who will not settle for anything but the strongest. Tasting Notes An overpowering body, completely void of acidity. Bold flavor and dark color in the cup.",https://www.devans.in/products/arabica-french-roast-coffee-wholesale,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/Untitleddesign_45_ebb36956-0486-4f32-aafe-2ea9b50c74cd.png?v=1758721023,Coffee
ARABICA PEABERRY COFFEE,Devans,500.0,250g,,"At Devans, Arabica Peaberry is",,to be enjoyed separately,"ANIMAL PRINTED PACKS AVAILABLE IN 500 g ONLY 
  Indian coffees are home to the best shade grown coffees in the world. It grows Arabica and Robusta coffees in the southern states where lush coffee plantations are heavily inter cropped with black pepper and ginger that bustle with honeybees and yield the finest coffee beans.  
  Peaberry coffees are rare, comprising only 3-7% of the total crop. These pea-shaped, natural formations of the coffee bean are thought to form when several pistils get knocked off the coffee flower, causing only one seed to form inside the coffee fruit rather than two.  
  Normally coffee beans grow two to a cherry, flat against each other but in about five percent of the worlds coffee a bean is found to be solo that's Peaberry.  
  Because there's no way to tell from looking at the cherry whether there's a single or double bean inside, as a result Peaberry beans are hand picked and processed to be enjoyed separately.  
 Tasting notes:    
  At Devans, Arabica Peaberry is roasted in a way to create a mild strength of coffee, that is soft, smooth, highly aromatic and flavorful . If you like milder coffees, go for this lighter bodied and a clean cup of coffee. It’s ideal when made in a French Press or a pour over.
[Meta Description]: Normally coffee beans grow two to a cherry, flat against each other but in about five percent of the worlds coffee a bean is found to be solo that's Peaberry. Because there's no way to tell from looking at the cherry whether there's a single or double bean inside as a result Peaberry beans are hand picked and processed to be enjoyed separately. Tasting Notes Arabica Peaberry is roasted in a way to create a mild strength. This coffee is our mildest and a delicate coffee that is soft, smooth, highly aromatic and flavorful . If you like milder coffees, go for this lighter bodied and a clean cup of coffee.",https://www.devans.in/products/peaberry-coffee,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/IMG20240410115129_1.jpg?v=1736165164,Coffee
ARABICA PEABERRY COFFEE,Devans,1000.0,500g,,"At Devans, Arabica Peaberry is",,to be enjoyed separately,"ANIMAL PRINTED PACKS AVAILABLE IN 500 g ONLY 
  Indian coffees are home to the best shade grown coffees in the world. It grows Arabica and Robusta coffees in the southern states where lush coffee plantations are heavily inter cropped with black pepper and ginger that bustle with honeybees and yield the finest coffee beans.  
  Peaberry coffees are rare, comprising only 3-7% of the total crop. These pea-shaped, natural formations of the coffee bean are thought to form when several pistils get knocked off the coffee flower, causing only one seed to form inside the coffee fruit rather than two.  
  Normally coffee beans grow two to a cherry, flat against each other but in about five percent of the worlds coffee a bean is found to be solo that's Peaberry.  
  Because there's no way to tell from looking at the cherry whether there's a single or double bean inside, as a result Peaberry beans are hand picked and processed to be enjoyed separately.  
 Tasting notes:    
  At Devans, Arabica Peaberry is roasted in a way to create a mild strength of coffee, that is soft, smooth, highly aromatic and flavorful . If you like milder coffees, go for this lighter bodied and a clean cup of coffee. It’s ideal when made in a French Press or a pour over.
[Meta Description]: Normally coffee beans grow two to a cherry, flat against each other but in about five percent of the worlds coffee a bean is found to be solo that's Peaberry. Because there's no way to tell from looking at the cherry whether there's a single or double bean inside as a result Peaberry beans are hand picked and processed to be enjoyed separately. Tasting Notes Arabica Peaberry is roasted in a way to create a mild strength. This coffee is our mildest and a delicate coffee that is soft, smooth, highly aromatic and flavorful . If you like milder coffees, go for this lighter bodied and a clean cup of coffee.",https://www.devans.in/products/peaberry-coffee,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/IMG20240410115129_1.jpg?v=1736165164,Coffee
ARABICA PEABERRY DARK ROAST COFFEE,Devans,525.0,250g,,"Floral aroma, bright medium to full bodied coffee, completely void of acidity",,Washed,"ANIMAL PRINTED PACKS AVAILABLE IN 500 g ONLY.  
   Baba Budangiri, is home to the finest coffee plantations of India. Indian Arabica Peaberry is a hand-selected, pulped, and fully washed coffee. Separating the peaberries from the rest of the coffee beans requires the use of special screens and adds time and effort to the grading process. The resulting peaberry coffee is very dense and uniform, resulting in a very focused and consistent flavor.   
  Expertly roasted in small batches for optimal taste and quality. Arabica Peaberry is given a longer roast for a strong brew. After roasting, the beans appear quite oily. This coffee is perfect for those who are looking to have that ""coffee-kick"" without the need to have an espresso.  
  Tasting Notes  
  Floral aroma, bright medium to full bodied coffee, completely void of acidity, with a chocolaty finish and dark color in the cup.
[Meta Description]: Arabica Peaberry is given a longer roast for a strong brew. After roasting, the beans appear quite oily. This coffee is perfect for those who are looking to have that ""coffee-kick"" without the need to have an espresso. Tasting Notes An overpowering body, completely void of acidity. Bold flavor and dark color in the cup.",https://www.devans.in/products/arabica-peaberry-dark-roast-coffee,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/IMG20240410115512_4.jpg?v=1736164648,Coffee
ARABICA PEABERRY DARK ROAST COFFEE,Devans,1050.0,500g,,"Floral aroma, bright medium to full bodied coffee, completely void of acidity",,Washed,"ANIMAL PRINTED PACKS AVAILABLE IN 500 g ONLY.  
   Baba Budangiri, is home to the finest coffee plantations of India. Indian Arabica Peaberry is a hand-selected, pulped, and fully washed coffee. Separating the peaberries from the rest of the coffee beans requires the use of special screens and adds time and effort to the grading process. The resulting peaberry coffee is very dense and uniform, resulting in a very focused and consistent flavor.   
  Expertly roasted in small batches for optimal taste and quality. Arabica Peaberry is given a longer roast for a strong brew. After roasting, the beans appear quite oily. This coffee is perfect for those who are looking to have that ""coffee-kick"" without the need to have an espresso.  
  Tasting Notes  
  Floral aroma, bright medium to full bodied coffee, completely void of acidity, with a chocolaty finish and dark color in the cup.
[Meta Description]: Arabica Peaberry is given a longer roast for a strong brew. After roasting, the beans appear quite oily. This coffee is perfect for those who are looking to have that ""coffee-kick"" without the need to have an espresso. Tasting Notes An overpowering body, completely void of acidity. Bold flavor and dark color in the cup.",https://www.devans.in/products/arabica-peaberry-dark-roast-coffee,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/IMG20240410115512_4.jpg?v=1736164648,Coffee
ARABICA PLANTATION - AA COFFEE,Devans,500.0,250g,,Medium,Chikmagalur,,"Coffee plants come in two main varieties- Arabica, which grows well in higher elevations, and Robusta, which grows at lower levels.  
  Grown on the lush green hills of Chikmagalur, in Karnataka, this Arabica Plantation AA coffee represents one of the best quality coffee of India. The beans are large, uniform and have clean polished appearance. This Arabica coffee has a hint of Indian spice and some flowers which is exceptional in the cup.  
  Tasting Notes  
  Medium roast of Arabica Plantation ""AA"" brings out the full compliment of aromas and results in a coffee that has moderate acidity, tangy flavor with a combination of full body and good strength.
[Meta Description]: Grown on the lush green hills of Chikmagalur, in Karnataka, this coffee represents best quality coffee of India. The beans are large, uniform and have clean polished appearance. This Arabica coffee has a hint of Indian spice and some flowers which is exceptional in the cup. Tasting Notes Medium roast of Plantation ""AA"" brings out the full compliment of aromas and results in a coffee that has moderate acidity, tangy flavor and good strength.",https://www.devans.in/products/arabica-plantation-coffee-1,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/IMG20240410124737-01.jpg?v=1736165950,Coffee
ARABICA PLANTATION - AA COFFEE,Devans,1000.0,500g,,Medium,Chikmagalur,,"Coffee plants come in two main varieties- Arabica, which grows well in higher elevations, and Robusta, which grows at lower levels.  
  Grown on the lush green hills of Chikmagalur, in Karnataka, this Arabica Plantation AA coffee represents one of the best quality coffee of India. The beans are large, uniform and have clean polished appearance. This Arabica coffee has a hint of Indian spice and some flowers which is exceptional in the cup.  
  Tasting Notes  
  Medium roast of Arabica Plantation ""AA"" brings out the full compliment of aromas and results in a coffee that has moderate acidity, tangy flavor with a combination of full body and good strength.
[Meta Description]: Grown on the lush green hills of Chikmagalur, in Karnataka, this coffee represents best quality coffee of India. The beans are large, uniform and have clean polished appearance. This Arabica coffee has a hint of Indian spice and some flowers which is exceptional in the cup. Tasting Notes Medium roast of Plantation ""AA"" brings out the full compliment of aromas and results in a coffee that has moderate acidity, tangy flavor and good strength.",https://www.devans.in/products/arabica-plantation-coffee-1,https://cdn.shopify.com/s/files/1/0561/6071/4931/files/IMG20240410124737-01.jpg?v=1736165950,Coffee
