roaster,name,price,currency,description,product_url,image_url,variant_prices,roast_type
Bili Hu,70 30 Arabica Robusta Blend,Rs. 649.00,INR,"Coffee Variety  - Arabica &amp; Robusta Beans  Post-Harvest Process  - Washed  Roast Level  - Medium Roast  Region  - Chikmagalur, Karnataka 
 A sense of warmth, comfort, and the welcoming nature of an espresso blend features 70% Arabica beans and 30% Robusta beans. This combination creates a distinctive and balanced flavor profile, where the Arabica contributes a delicate, nuanced taste and the Robusta adds boldness and depth. This blend includes washed arabica and robusta beans from the finest coffee plantations - Kalledevarapura Estate and Balur Estate respectively, resulting in a robust body with a hint of sweetness.  
 Our recommended brewing methods - Espresso, Mokapot &amp; French Press to achieve a perfectly balanced and flavorful cup.  
    It reminds us of :     
   Whole Beans -    Dark Chocolate, Roasted Nuts, Maple syrup, Medium Acidity, Full Body.    French Press -    Dark Chocolate, Bitter Sweet Almonds, Medium Acidity, Full Body.      Drip filter -     Walnuts, Salted caramel, Medium Acidity, Full Body.       Mokapot / Percolator -     Dark Chocolate, Roasted Nuts, Medium Acidity, Full Body.       Home Espresso -     Dark Chocolate, Honey-coated Almonds, Medium Acidity, Full Body.       Aeropress -    Roasted Nuts, Bittersweet Chocolate, Medium Acidity, Full Body.",https://bilihu.in/products/70-30-arabica-robusta-blend,https://cdn.shopify.com/s/files/1/1735/8357/files/70-30_0ba8b94f-cdfd-45cb-81d5-443f1efcbb76.png?v=1774858335,250g:649.00; 1Kg:2100.00,
Bili Hu,80 20 Arabica Robusta Blend,Rs. 649.00,INR,"Coffee Variety  - Arabica &amp; Robusta Beans    Post-Harvest Process  - Washed    Roast Level  - Medium Roast    Region  - Chikmagalur, Karnataka     
 A masterfully crafted blend of Arabica and Robusta coffee beans designed to offer a unique flavor experience. Comprising 80% Arabica and 20% Robusta beans, this blend is known for its intricate, nuanced flavors, boldness, and depth. It promises a truly exceptional sensory journey. Ideal for those who appreciate a well-balanced cup with distinctive flavors. 
    It reminds us of :     
    Whole Beans -  Dark Chocolate, Roasted Nuts, Maple Syrup, Medium Acidity, Full Body         French Press -  Dark Chocolate, Bitter Sweet Almonds, Medium Acidity, Full Body        Drip filter -  Walnuts, Salted caramel, Medium Acidity, Full Body        Mokapot / Percolator -      Dark Chocolate, Roasted Nuts, Medium Acidity, Full Body     Espresso -     Dark Chocolate, Honey coated almonds, Medium Acidity, Full Body           Aeropress -    Roasted Nuts, Bittersweet Chocolate, Medium Acidity, Full Body",https://bilihu.in/products/80-20-arabica-robusta-blend,https://cdn.shopify.com/s/files/1/1735/8357/files/80-20_2919b1d3-1289-4cbc-9b56-af49091a84a4.png?v=1774859237,250g:649.00; 1Kg:2100.00,
Bili Hu,85 15 Arabica Robusta Blend,Rs. 649.00,INR,"Coffee Variety  - Arabica &amp; Robusta Beans    Post-Harvest Process  - Washed Arabica &amp; Robusta Pulped Sun-Dried    Roast Level  - Medium Roast    Region  - Chikmagalur, Karnataka     
 A masterfully crafted blend of Arabica and Robusta coffee beans designed to offer a unique flavor experience. Comprising 85% Arabica and 15% Robusta beans, this blend is known for its nuanced flavors of milk chocolate &amp; caramel, boldness, and depth. Ideal for those who enjoy their coffees with milk and appreciate a well-balanced cup with distinctive flavors. 
    It reminds us of :     
    Whole Beans -  Dark Chocolate, Roasted Nuts, Maple Syrup, Medium Acidity, Full Body         French Press -  Dark Chocolate, Bitter Sweet Almonds, Medium Acidity, Full Body        Drip filter -  Walnuts, Salted caramel, Medium Acidity, Full Body        Mokapot / Percolator -      Dark Chocolate, Roasted Nuts, Medium Acidity, Full Body     Espresso -     Dark Chocolate, Honey coated almonds, Medium Acidity, Full Body           Aeropress -    Roasted Nuts, Bittersweet Chocolate, Medium Acidity, Full Body",https://bilihu.in/products/80-20-arabica-robusta-blend-copy,https://cdn.shopify.com/s/files/1/1735/8357/files/85.15.png?v=1743415579,250g:649.00; 1Kg:2100.00,
Bili Hu,Aghora Estate,Rs. 749.00,INR,"Coffee Variety  - Arabica Beans    Post-Harvest Process  - Washed     Roast Level  - Medium Roast    Region  - Chikmagalur, Karnataka   
  Aghora Estate, established in 2013 by Rohini Rajgopal, features a 20-acre organic Arabica plot on an Eastern-facing hill at 1050-1100 m elevation. The farm uses IMO-certified organic and farmyard manure, is pesticide-free, and practices manual weeding. Aghora Estate is a part of a 350-acre plantation in the Chikmagalur District, Western Ghats. Since 1972, it has been producing specialty shade-grown Arabica and Robusta coffee, along with black and white pepper, cardamom, and areca nut.   
    It reminds us of :    
   Whole Beans -    Trail Mix, Dried Raisins, Jaggery Sweetness, Low Acidity, Full Body    French Press -    Dates, Roasted Nuts, Medium Acidity, Medium Body      Drip filter -     Sweet Lime, White Chocolate, Medium Acidity, Full Body       Mokapot / Percolator -     Jaggery, Milk Chocolate, Medium Acidity, Full Body       Espresso -     Sweet Lime, Salted Roasted Nuts, Low Acidity, Full Body       Aeropress -    Zesty Lime, White Chocolate, Medium Acidity, Full Body",https://bilihu.in/products/aghora-estate-1,https://cdn.shopify.com/s/files/1/1735/8357/files/Aghora.png?v=1774869750,250g:749.00; 1Kg:1890.00,
Bili Hu,Arabica Blend (Dark Roast),Rs. 749.00,INR,"Coffee Variety  - Arabica Beans  Post-Harvest Process  - Washed &amp; Red Honey Sun-dried  Roast Level  - Dark Roast  Region  - Chikmagalur, Karnataka   A bold and intense cup with our small-batch Arabica dark roast. This unique blend brings together Arabica beans sourced from two select plantations in Chikmagalur, creating a smoky and cherry-like flavor profile with layered, subtle nuance. 
 Perfectly suited for milk-based brews, its smooth finish and strong character makes it a favorite among those who prefer a robust coffee experience. Recommended for espresso based beverages.  
 
 
 
 
    It reminds us of :       Whole Beans -    Co cao, Smoky, Cherry-like Aftertaste, Low Acidity, Full Body   .       French Press -    Maple Syrup, Cinnamon, Smoky, Low Acidity, Full Body.    Drip filter -    Peaches, Dried Nuts, Dark Chocolate, Medium Acidity, Medium Body.    Mokapot / Percolator -    Grapefruit, Smoky, Bright Balanced Cup, Medium Acidity, Full Body.    Espresso -    Dark Chocolate, Almonds, Lingering Sweet After-taste,  Low Acidity, Full Body, Bright balanced cup   .       Aeropress -    Milk Chocolate, Fermented Berries-like Aftertaste, Medium Acidity, Full Body.",https://bilihu.in/products/arabica-blend-dark-roast,https://cdn.shopify.com/s/files/1/1735/8357/files/100_Arabica_Dark_023084c3-9f04-4b2d-858a-6d8137d40df4.png?v=1774862570,250g:749.00; 1Kg:2265.00,
Bili Hu,Arabica Blend (Medium Roast),Rs. 649.00,INR,"Coffee Variety  - Arabica Beans  Post-Harvest Process  - Washed &amp; Red Honey Sun-dried  Roast Level  - Medium Roast  Region  - Chikmagalur, Karnataka  
 This blend has been created using arabicas from two different plantations. Each of the coffees used in the blend are of different grades with unique post - harvest processes that contribute to the cup!  Tasting notes : Cup bears a strong resemblance to a dark chocolate and the fermented berry like sweetness takes over the aftertaste. It’s got medium acidity, full body. 
 
 
 
 
    It reminds us of :       Whole Beans -    Sweet Berries, Roasted Nuts, No Bitterness, Low Acidity, Full Body.    French Press -    Chocolate, Nutty, Berry-like Sweet Aftertaste, Low Acidity, Full Body.    Drip filter -    Sweet Cherries, Dried Nuts, Medium Acidity, Medium Body.    Mokapot / Percolator -    Sweet Cherries, Nutty-taste, Medium Acidity, Medium Body.    Espresso -    Date Jaggery, Roasted Peanuts, Low Acidity, Full Body, Bright balanced cup.    Aeropress -      Milk Chocolate, Fermented Berries-like Aftertaste, Medium Acidity, Full Body",https://bilihu.in/products/arabica-blend-medium-roast,https://cdn.shopify.com/s/files/1/1735/8357/files/100__Arabica.png?v=1774861086,250g:649.00; 1Kg:2265.00,
Bili Hu,Assorted Drip Coffee Bags (Set of 5),Rs. 515.00,INR,"Our Assorted Drip Coffee Box, a thoughtfully curated collection of single-serve drip coffee sachets for effortless brewing, unique and exceptional flavors. Each box brings together distinctive coffees from different origins, roast profiles, and processing styles - perfect for gifting, or daily indulgence.  Inside, you will find a balanced mix of  - Arabica Medium Roast with smooth, rounded notes - Arabica Dark Roast delivering bold intensity and depth - The iconic Monsooned Malabar, known for its low acidity and earthy richness - Our indulgent Whiskey Barrel Aged Coffee, infused with warm, oaky character - Decaffeinated coffee, offering full-bodied flavor with less caffeine. 
 Each sachet is individually packed to preserve freshness and flavor, allowing you to enjoy coffee anywhere, with no machine required. Whether you’re a seasoned coffee lover or just beginning your journey, this assorted box celebrates variety, craftsmanship, and the joy of discovering something new in every cup.  How to brew?  
 
 Tear open the bag at the top. 
 
 Gently shake to ensure even distribution and place the hanger securely over the cup. 
 Slowly pour hot water into the bag until it reaches the neck. 
 Refill with more water once the filtration process completes. 
 Cease pouring when the brewed coffee level in the cup reaches midway through the filter. 
 Discard the used filter and serve. 
 Brewing time: under 2 minutes. 
 Total hot water required: 200ml.",https://bilihu.in/products/assorted-drip-bagsset-of-5,https://cdn.shopify.com/s/files/1/1735/8357/files/assortedbox.png?v=1768914729,Pack of 5:515.00,
Bili Hu,Balur Estate,Rs. 749.00,INR,"Coffee Variety  - Arabica Beans  Post-Harvest Process  - Red Honey sun-dried   Roast Level  - Medium Roast  Region  - Chikmagalur, Karnataka   
 Balur Estate, a 250-acre single estate in the Western Ghats, is managed by third-generation planters. Established during British rule, it practices sustainable farming without external fertilisers or pesticides. In addition to coffee, it produces nutmeg, cacao, citrus fruits, and jackfruit. A serene lake supports its diverse crops. Nestled in a UNESCO World Heritage site, the estate thrives in harmony with nature, reflecting local traditions of respect and coexistence.  
    It reminds us of :     
    Whole Beans -    Nutty, Milk Chocolate, Caramel, Medium Acidity, Full Body     French Press -     Caramel, Dark Chocolate, Moderate Acidity, Full Body           Drip Filter -     Walnuts, Salted caramel, Cleaner- Lighter finish cup, Medium Acidity, Full Body       Mokapot / Percolator -     Bold, Dark Chocolate, Nutty, Caramel, Moderate Acidity, Full Body       Espresso -     Sweet Berries, Black Grapes, Medium Acidity, Full Body       Aeropress -     Bright, with prominent Berry Acidity, Caramel, Smooth body with clean, chocolatey sweetness",https://bilihu.in/products/single-estate-coffee-balur,https://cdn.shopify.com/s/files/1/1735/8357/files/Balur_Medium_0a85fae4-fe50-4f03-bdca-d4a5b208d466.png?v=1774870008,250g:749.00; 1Kg:2400.00,
Bili Hu,Balur Estate (Dark Roast),Rs. 849.00,INR,"Coffee Variety  - Arabica Beans  Post-Harvest Process  - Red Honey sun-dried   Roast Level  - Dark Roast  Region  - Chikmagalur, Karnataka   
 Balur Estate, a 250-acre single estate in the Western Ghats, is managed by third-generation planters. Established during British rule, it practices sustainable farming without external fertilisers or pesticides. In addition to coffee, it produces nutmeg, cacao, citrus fruits, and jackfruit. A serene lake supports its diverse crops. Nestled in a UNESCO World Heritage site, the estate thrives in harmony with nature, reflecting local traditions of respect and coexistence.  
    It reminds us of :     
    Whole Beans -    Cocoa, Smoky, Cherry-like Aftertaste, Low Acidity, Full Body     French Press -       Caramel, Cinnamon, Moderate Acidity, Full Body           Drip Filter -       Walnuts, Grapefruit, Cleaner- Lighter finish cup, Medium Acidity, Full Body       Mokapot / Percolator -       Bold, Dark Chocolate, Caramel, Moderate Acidity, Full Body       Espresso -       Milk Chocolate, Black Grapes, Medium Acidity, Full Body       Aeropress -       Bright, with prominent Berry Acidity, Caramel, Smooth body with clean, chocolatey sweetness",https://bilihu.in/products/balur-estate-dark-roast,https://cdn.shopify.com/s/files/1/1735/8357/files/Balur_Dark.png?v=1772277245,250g:849.00; 1Kg:2749.00,
Bili Hu,Balur Estate - Robusta,Rs. 649.00,INR,"Coffee Variety -  Robusta Beans   Post Harvest Process   - Washed   Roast level   - Medium   Region   - Single Estate, Chikmagalur, Karnataka   
 Balur Estate, a 250-acre single estate in the Western Ghats, is managed by third-generation planters. Nestled in a UNESCO World Heritage site, the estate thrives in harmony with nature, reflecting local traditions of respect and coexistence. They not only cultivate premium Arabica beans but also produce some of the finest Robusta in India. This omni-roast is perfect for brewing in a Mokapot, pour-over, or French press.  
    It reminds us of :     
    Whole Beans -    Roasted Popcorn, Dark Chocolate, Medium Acidity, Full Body     French Press -     Caramel Sweetness, Roasted Popcorn, Medium Acidity, Medium Body           Drip Filter -     Salted Caramel, Roasted Nuts, Mild Acidity and Body       Mokapot / Percolator -     Nutty, Sweet lingering aftertaste, Caramel Sweetness, Full Body, Medium Acidity       Espresso -     Caramel Popcorn, Sweet Berries like after-taste, Full Body, Medium acidity       Aeropress -     Popcorn flavor with Caramel sweetness, Medium Acidity with smooth, light finish",https://bilihu.in/products/balur-estate-robusta-pulp-sundried,https://cdn.shopify.com/s/files/1/1735/8357/files/Balur_Robusta.png?v=1774868181,250g:649.00,
