roaster,name,price,currency,description,product_url,image_url,variants
Five Farms,Custom roasted coffee,,,"Tailored flavor profiles for every coffee lover. A unique collection of custom roasted coffees from FiveFarms. Single estate beans roasted to your preference,",https://fivefarms.in/product-category/custom-roasted-coffee/,"data:image/svg+xml;nitro-empty-id=NDQ4OjE3Mw==-1;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",
Five Farms,,₹ 549.00,₹,Experience the freshness and convenience of De’-yu Artisanal Brew Bags. The worlds only custom ordered pouches. For a perfect fresh brew every time.,https://fivefarms.in/product-category/deyu-artisanal-brew-bags/,"data:image/svg+xml;nitro-empty-id=NDUxOjE3Mw==-1;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",
Five Farms,,₹ 549.00,₹,"Discover De’-yu. Curated on demand, our cold brew pouches deliver fresh flavors on every order. Perfect for coffee lovers seeking a personalized, experience.",https://fivefarms.in/product-category/deyu-artisanal-brew-bags/cold-brew-pouches/,"data:image/svg+xml;nitro-empty-id=NDUwOjE3Mw==-1;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",
Five Farms,,₹ 299.00,₹,"Discover the perfect cup of coffee with our custom made drip bags. Our innovative brewing method allows you to enjoy a fresh, coffee wherever you go.",https://fivefarms.in/product-category/deyu-artisanal-brew-bags/single-serve-drip-bags/,"data:image/svg+xml;nitro-empty-id=NDQ4OjE3Mw==-1;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",
Five Farms,,"₹ 1,375.00",₹,"Discover a collection of curated coffee gifts. Handpicked single estate blends and custom-etched packaging. Boxes that bring flavour of Coorg, to your home.",https://fivefarms.in/product-category/gifting/,"data:image/svg+xml;nitro-empty-id=NDQ4OjE3Mw==-1;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",
Five Farms,,"₹ 1,375.00",₹,"Explore FiveFarms Gift Boxes, featuring curated single estate coffees, and rich blends from Coorg. With customizable to make it truly unique.",https://fivefarms.in/product-category/gifting/gift-boxes/,"data:image/svg+xml;nitro-empty-id=NDQ3OjE3Mw==-1;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",
Five Farms,,₹ 349.00 Original price was: ₹349.00. ₹ 249.00 Current price is: ₹249.00.,₹,"Discover Grey Hornbill, a curated collection of 10 exquisite flavored instant coffees. From bold and rich to fruity and sweet, experience, flavors in every cup.",https://fivefarms.in/product-category/instant-coffee/,"data:image/svg+xml;nitro-empty-id=NDQ4OjE3Mw==-1;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",
Five Farms,Specialty coffees,,,"Experience the perfect blend of tradition and sustainability. Shade-grown specialty coffee from the estates of Coorg, a flavor profile that supports ecosystem",https://fivefarms.in/product-category/specialty-coffee/,"data:image/svg+xml;nitro-empty-id=NDQ5OjE3Mw==-1;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",
Five Farms,Crystal Valley microlots,,,"Mulled naturals, Carbonic maceration and unique fermented coffees from pristine slopes of the Biligiri Hills in Coorg, India.",https://fivefarms.in/product-category/specialty-coffee/crystal-valley-microlots/,"data:image/svg+xml;nitro-empty-id=NDQ4OjE3Mw==-1;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",
Five Farms,Filter coffee blends,,,Discover the rich flavors of traditional South Indian filter coffee. Our custom-roasted beans from Coorg create brews that offer an authentic experience.,https://fivefarms.in/product-category/specialty-coffee/filter-coffee-blends/,"data:image/svg+xml;nitro-empty-id=NDQ4OjE3Mw==-1;base64,PHN2ZyB2aWV3Qm94PSIwIDAgMjI1IDk0IiB3aWR0aD0iMjI1IiBoZWlnaHQ9Ijk0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",
