roaster,name,price,currency,description,product_url,image_url,variant_prices,roast_type
Kup Coffee Roasters,Dkaf Medium Roasted Beans 250 Grams | 100% Arabica Single-Origin,Rs. 1690.00,INR,"Richly Layered Profile – Butter cookie sweetness balanced with notes of blood orange and raisins for indulgence without caffeine  
  100% Arabica Single-Origin – Carefully roasted to medium for balance and clarity  
  Medium Roast – Preserves nuance while ensuring a smooth, full cup  
  Versatile Brewing – Suitable for filter and espresso methods  
  Premium Packaging – 250g aroma-lock pouch for freshness  
  Decaf Comfort – Ideal for evenings, mindful breaks, or coffee without the buzz
[Meta Description]: Richly Layered Profile – Butter cookie sweetness balanced with notes of blood orange and raisins for indulgence without caffeine 100% Arabica Single-Origin – Carefully roasted to medium for balance and clarity Medium Roast – Preserves nuance while ensuring a smooth, full cup Versatile Brewing – Suitable for filter and ",https://www.kup.world/products/dkaf-medium-roasted-beans-250-grams-100-arabica-single-origin,https://cdn.shopify.com/s/files/1/0948/3085/4453/files/11.png?v=1776762341,:1690.00,
Kup Coffee Roasters,KAAPI ROYALE HARLEY ESTATE | SAKLESHPUR | ROBUSTA  | ESPRESSO ROAST | 250GMS,Rs. 690.00,INR,"This unique lot from the volcanic soil in Sakleshpur produces India’s famous Robusta Kaapi Royale. Carefully handpicked at peak ripeness, only the finest Robusta beans make the cut, ensuring an unparalleled level of quality and consistency. The Kaapi Royale is perfect for espresso-based beverages with flavours of caramel, milk chocolate, and sweet cream.
[Meta Description]: This unique lot from the volcanic soil in Sakleshpur produces India’s famous Robusta Kaapi Royale. Carefully handpicked at peak ripeness, only the finest Robusta beans make the cut, ensuring an unparalleled level of quality and consistency. The Kaapi Royale is perfect for espresso-based beverages with flavours of caram",https://www.kup.world/products/product-ed878991-1ec5-f651-d4e8-b9f464873ba0,https://cdn.shopify.com/s/files/1/0948/3085/4453/files/2.png?v=1776353351,:690.00,
Kup Coffee Roasters,KUP TOTE BAGS 2,Rs. 300.00,INR,"Carry a gucci, they call you classy. Our tote bags have feelings, and keep it sassy.
[Meta Description]: Carry a gucci, they call you classy. Our tote bags have feelings, and keep it sassy.",https://www.kup.world/products/product-e6ecc408-1156-edc7-0292-834fa01c6f27,https://cdn.shopify.com/s/files/1/0948/3085/4453/files/548938_38ebe2b621554532baace497646febfb_mv2_fd5f7bdd-f78d-4bfc-bdd1-b4a612aace3d.png?v=1748973528,:300.00,
Kup Coffee Roasters,KUP TOTE BAGS 3,Rs. 300.00,INR,"Carry a gucci, they call you classy. Our tote bags have feelings, and keep it sassy.
[Meta Description]: Carry a gucci, they call you classy. Our tote bags have feelings, and keep it sassy.",https://www.kup.world/products/kup-tote-bags-3,https://cdn.shopify.com/s/files/1/0948/3085/4453/files/totebag-new_8a6ba202-e256-4c8b-97c1-3d2ccc72a822.png?v=1771267646,:300.00,
Kup Coffee Roasters,Love You Berry Much Coffee | 100% Arabica | Medium Roast Beans 250 Grams,Rs. 1090.00,INR,"PREMIUM 100% ARABICA BEANS: Speciality coffee made from 100% Arabica beans sourced from 1350 MASL elevation, ensuring superior quality and rich flavour profile  
  UNIQUE FLAVOUR PROFILE: Medium roast coffee featuring natural extended anaerobic fermentation process, delivering tasting notes of berries, honey, dark plum, rum, dark chocolate and earth for a complex sensory experience  
  VERSATILE BREWING OPTIONS: Expertly roasted to perfection, ideal for preparing espresso, cortado, and cold brew, allowing you to enjoy your preferred coffee style  
  FRESH WHOLE BEANS: Comes in a 250-gram resealable pouch to maintain freshness and aroma, giving you the flexibility to grind beans as per your brewing requirements  
  SPECIALITY GRADE COFFEE: Roasted by KUP Coffee Roasters with attention to detail, this medium roast delivers a balanced cup with distinctive berry-forward characteristics
[Meta Description]: PREMIUM 100% ARABICA BEANS: Speciality coffee made from 100% Arabica beans sourced from 1350 MASL elevation, ensuring superior quality and rich flavour profile UNIQUE FLAVOUR PROFILE: Medium roast coffee featuring natural extended anaerobic fermentation process, delivering tasting notes of berries, honey, dark plum, ru",https://www.kup.world/products/love-you-berry-much-coffee-100-arabica-medium-roast-beans-250-grams,https://cdn.shopify.com/s/files/1/0948/3085/4453/files/3_lu.png?v=1774710194,:1090.00,
Kup Coffee Roasters,Mad Monk | 100% Arabica | Rum Barrel Aged Medium Roasted Coffee Beans 250 Grams,Rs. 1290.00,INR,"Rum Barrel Aged Elegance – Aged in authentic rum barrels to infuse deep, fruity and nutty complexity  
  100% Arabica Beans from Sakleshpur, India – Estate-grown beans selected for their clarity, aroma, and smooth body  
  Distinctive Flavour Profile – Bright citrus from orange peel meets earthy walnut for a layered, refined cup  
  Medium Roast for Balance – Preserves fruit-forward brightness while adding subtle warmth and depth  
  Versatile Brewing – for South Indian filter, cold brew, French press, AeroPress, and pour-over methods  
  Premium Packaging – 250g aroma-lock pouch; vegetarian-friendly and ideal for gifting to coffee connoisseurs
[Meta Description]: Rum Barrel Aged Elegance – Aged in authentic rum barrels to infuse deep, fruity and nutty complexity 100% Arabica Beans from Sakleshpur, India – Estate-grown beans selected for their clarity, aroma, and smooth body Distinctive Flavour Profile – Bright citrus from orange peel meets earthy walnut for a layered, refined c",https://www.kup.world/products/mad-monk-100-arabica-rum-barrel-aged-medium-roasted-coffee-beans-250-grams,https://cdn.shopify.com/s/files/1/0948/3085/4453/files/11madmonk.png?v=1774625132,:1290.00,
Kup Coffee Roasters,RATNAGIRI ESTATE | CHIKMAGALUR | ARABICA | OMNI ROAST | 250GMS,Rs. 940.00,INR,"From the birthplace of Indian coffee, Chikmagalur comes this renowned Ratnagiri coffee. Its cherries are de-pulped and undergo a highly controlled 90-hour extended carbonic-washed-maceration process aimed at extracting the utmost complexity of flavours. Experience the notes of peach, black currant, and mandarin that lead to a gratifying, grapy finish.
[Meta Description]: From the birthplace of Indian coffee, Chikmagalur comes this renowned Ratnagiri coffee. Its cherries are de-pulped and undergo a highly controlled 90-hour extended carbonic-washed-maceration process aimed at extracting the utmost complexity of flavours. Experience the notes of peach, black currant, and mandarin that le",https://www.kup.world/products/product-a0ed89a1-aab3-ef02-77b7-44f8b4977f39,https://cdn.shopify.com/s/files/1/0948/3085/4453/files/12.png?v=1776353401,:940.00,
Kup Coffee Roasters,Sober Jack | 100% Arabica | Medium Smoky Roasted Coffee Beans 250 Grams,Rs. 1290.00,INR,"Barrel-Aged Craftsmanship – Aged in authentic whiskey barrels to infuse deep, smoky complexity and boozy undertones  
  100% Arabica Beans from Satlienpur, India – High-altitude estate-grown beans selected for their clarity and balance  
  Unique Flavour Profile – Tasting notes of black currant, dark rum, and jujube with a medium smoky finish and velvety body  
  Medium Roast for Depth &amp; Smoothness – Balanced roast level preserves fruit-forward notes while adding subtle charred richness  
  Versatile Brewing – for South Indian filter, cold brew, French press, AeroPress, and pour-over methods  
  Premium Packaging – 250g aroma-lock box; vegetarian-friendly and ideal for gifting to coffee connoisseurs
[Meta Description]: Barrel-Aged Craftsmanship – Aged in authentic whiskey barrels to infuse deep, smoky complexity and boozy undertones 100% Arabica Beans from Satlienpur, India – High-altitude estate-grown beans selected for their clarity and balance Unique Flavour Profile – Tasting notes of black currant, dark rum, and jujube with a med",https://www.kup.world/products/sober-jack-100-arabica-medium-smoky-roasted-coffee-beans-250-grams,https://cdn.shopify.com/s/files/1/0948/3085/4453/files/9soberjack.png?v=1774611324,:1290.00,
Kup Coffee Roasters,Sugar Daddy Coffee | 100% Arabica | Medium Roast Beans 250 Grams,Rs. 1090.00,INR,"PREMIUM ARABICA BEANS: 100% Arabica coffee beans sourced from 1350 MASL elevation, delivering exceptional quality and rich flavour profiles  
  NATURAL SPECIAL PROCESS: Sugar Daddy blend features natural special processing with medium roast, highlighting notes of coffee, honey, mulberry, and cherry for a sweet and complex taste  
  VERSATILE BREWING: Best suited for espresso and milk-based drinks, these whole beans allow you to grind fresh for optimal flavour and aroma in every cup  
  SPECIALITY COFFEE: KUP Coffee Roasters brings you speciality grade coffee beans carefully roasted to perfection, ensuring consistent quality and taste  
  PACKAGE CONTENTS: 250 grams of whole coffee beans in a resealable pouch to maintain freshness and preserve the distinctive flavour characteristics
[Meta Description]: PREMIUM ARABICA BEANS: 100% Arabica coffee beans sourced from 1350 MASL elevation, delivering exceptional quality and rich flavour profiles NATURAL SPECIAL PROCESS: Sugar Daddy blend features natural special processing with medium roast, highlighting notes of coffee, honey, mulberry, and cherry for a sweet and complex ",https://www.kup.world/products/sugar-daddy-coffee-100-arabica-medium-roast-beans-250-grams,https://cdn.shopify.com/s/files/1/0948/3085/4453/files/1_sd.png?v=1774710235,:1090.00,
Kup Coffee Roasters,The Dreamer | 80:20 Arabica-Robusta Blend Medium Roasted Coffee Beans 250 Grams,Rs. 590.00,INR,"Rich &amp; Bold – Dark chocolate, roasted nuts, and a sweet cream finish  
  Arabica–Robusta Blend – Crafted for balance and strength  
  Medium-Dark Roast – Full-bodied with layered depth  
  Brewing Styles – Perfect for filter, French press, or cold brew  
  Premium Packaging – 250g aroma-lock pouch  
  Indulgent Experience – Ideal for slow mornings and conversations
[Meta Description]: Rich &amp; Bold – Dark chocolate, roasted nuts, and a sweet cream finish Arabica–Robusta Blend – Crafted for balance and strength Medium-Dark Roast – Full-bodied with layered depth Brewing Styles – Perfect for filter, French press, or cold brew Premium Packaging – 250g aroma-lock pouch Indulgent Experience – Ideal for ",https://www.kup.world/products/the-dreamer-80-20-arabica-robusta-blend-medium-roasted-coffee-beans-250-grams,https://cdn.shopify.com/s/files/1/0948/3085/4453/files/8.png?v=1776762428,:590.00,
