roaster,name,price,currency,description,product_url,image_url,variant_prices,roast_type,origin,tasting_notes,process
Toise Coffee Roasters,"""Coffee is Carrying Me"" tote bag",Rs. 500.00,INR,"Not a morning person. Not an afternoon person either. Just a coffee person, and this bag proves it. 
 
 Canvas material, durable and eco-friendly 
 DTF (Direct to Film) print for vibrant, lasting colour 
 Roomy enough for your coffee, laptop, and everything in between 
 Comfortable shoulder handles 
 
  Care Instructions:  Hand wash only · Wash inside out · Do not iron on the print",https://toise.coffee/products/toise-coffee-is-carrying-me-canvas-tote-bag,https://cdn.shopify.com/s/files/1/0647/6490/3563/files/Product2.jpg?v=1779624974,:500.00,,,,
Toise Coffee Roasters,"""Not Caffeinated Enough to Care"" Tote Bag",Rs. 500.00,INR,"Because some days, you just don't have the energy and that's perfectly fine. 
 
 Canvas material, sturdy and eco-friendly 
 DTF (Direct to Film) print for vibrant, lasting colour 
 Spacious design, perfect for groceries, books, or beach days 
 Comfortable handles for everyday carry 
 Minimalist aesthetic with a playful, expressive print 
 
  Care Instructions:  Hand wash only · Wash inside out · Do not iron on the print 
 The perfect bag for slow mornings, errand runs, and anyone who lives life at their own pace.",https://toise.coffee/products/toise-not-caffeinated-enough-to-care-canvas-tote-bag,https://cdn.shopify.com/s/files/1/0647/6490/3563/files/Product.jpg?v=1779623787,:500.00,,,,
Toise Coffee Roasters,Coffee Doodle Totebag,Rs. 500.00,INR,"For everyone who runs on coffee and good vibes. 
 
 Canvas material, durable and eco-friendly 
 DTF (Direct to Film) print for vibrant, lasting colour 
 Spacious enough for daily essentials 
 Comfortable shoulder handles 
 
  Care Instructions:  Hand wash only · Wash inside out · Do not iron on the print 
 The ideal bag for coffee lovers, slow mornings, and café runs.",https://toise.coffee/products/toise-coffee-icons-canvas-tote-bag,https://cdn.shopify.com/s/files/1/0647/6490/3563/files/Product_1.jpg?v=1779697247,:500.00,,,,
Toise Coffee Roasters,Espresso Cup,Rs. 500.00,INR,"Tiny cups, bold energy. Our espresso cups are made for the moments that deserve something strong, simple, and beautifully crafted. With a soft speckled finish and vibrant glaze up top, these ceramic cups are as joyful as your morning shot. 
 No handles, because they’re designed to be held. Available in blue and yellow. Sold individually.",https://toise.coffee/products/toise-espresso-cups,https://cdn.shopify.com/s/files/1/0647/6490/3563/files/DSC9562-2.jpg?v=1750514843,:500.00,,,,
Toise Coffee Roasters,Latte Cup Set,Rs. 750.00,INR,"Sip slow and savour more with our signature ceramic latte cups, available in soft pink and mint green. Hand-finished with a smooth glaze and embossed with the Toise logo, these cups are built for your morning ritual, afternoon pick-me-up, or that quiet, end-of-day pour. Designed to feel just right in your hand, and even better on your shelf. 
 Perfect for: lattes, cappuccinos, or just showing off your great taste. Each cup comes with a matching saucer.",https://toise.coffee/products/toise-signature-latte-cups,https://cdn.shopify.com/s/files/1/0647/6490/3563/files/DSC9537-2.jpg?v=1750514844,:750.00,,,,
Toise Coffee Roasters,Live Wire,Rs. 850.00,INR,"The Livewire is a pineapple co-fermented natural coffee, promising a burst of fruit in your cup. With a bright acidity and light body, tropical fruits shine through the cup. 
 Best Brewed with: V60",https://toise.coffee/products/the-classic-copy,https://cdn.shopify.com/s/files/1/0647/6490/3563/files/LiveWire.jpg?v=1765973848,220 g:850.00; 1 kg:3600.00,,"Chikmaglur, India Chikmagalur, often called the ""Coffee Land of India,"" is a beautiful",,Pineapple Co-Fermented The washed
Toise Coffee Roasters,The Charmer,Rs. 700.00,INR,"The Charmer is a washed coffee that has been fermented longer for 72 hours. The longer fermentation adds extra complexity and sweetness to the cup. A beautifully balanced cup that reminds you of fruity chocolate and cookies. 
 Best Brewed With: V60, Moka Pot, Espresso",https://toise.coffee/products/the-charmer,https://cdn.shopify.com/s/files/1/0647/6490/3563/files/CharmerFinal.jpg?v=1766142949,220 g:700.00; 1 kg:3000.00,,"Chikmaglur, India Chikmagalur, often called the ""Coffee Land of India,"" is a beautiful",Fruit and Nut Chocolate + Butter Cookies,72hr Fermented Washed
Toise Coffee Roasters,The Classic,Rs. 650.00,INR,"The Classic is a comforting washed coffee from the hills of Chikmagalur. It has an aroma of chocolate that will remind you of chocolate-dipped oranges. Its medium acidity brings brightness to the cup, while a heavy, silky body creates a luxurious mouthfeel. This coffee is your perfect morning cup that is fun yet not overwhelming. 
 Best Brewed With: V60, Moka Pot, Espresso",https://toise.coffee/products/the-classic,https://cdn.shopify.com/s/files/1/0647/6490/3563/files/BID6135.jpg?v=1766144346,220 g:650.00; 1 kg:2600.00,,"Chikmaglur, India Chikmagalur, often called the ""Coffee Land of India,"" is a beautiful",,Washed The washed
Toise Coffee Roasters,The Enchanter,Rs. 700.00,INR,"The Enchanter is a very delicate coffee from Kerehaklu. Although a washed coffee, it has a beautiful acidity with sweet notes of prunes and honey. It’s the best choice for someone looking to enjoy a bright coffee without any heavy fruitiness or funkiness. 
 Best Brewed With: V60",https://toise.coffee/products/the-enchanter,https://cdn.shopify.com/s/files/1/0647/6490/3563/files/Enchanter.jpg?v=1766143426,220 g:700.00; 1 kg:2850.00,,,,Thermal Shock Washed
Toise Coffee Roasters,The Lounger,Rs. 650.00,INR,"The Lounger is our darkest coffee for the espresso heads. It has been roasted tactically to highlight sweetness with balanced acidity and no harsh roasty flavours. The Lounger provides a rich, delicate crema that balances well with the cacao nib notes of the coffee. 
 Best Brewed With: Espresso, French Press",https://toise.coffee/products/the-lounger_meduim-dark-roast,https://cdn.shopify.com/s/files/1/0647/6490/3563/files/Lounger.jpg?v=1766143548,220 g:650.00; 1 kg:2600.00,,"Chikmaglur, India Chikmagalur, often called the ""Coffee Land of India,"" is a beautiful",Dark Chocolate +,Washed The washed
